Gene_Locus(Dde_)	E_score	NE_score	Decision
3478	0.61	0.389	0
3478	0.743	0.257	0
3478	0.178	0.824	1
3478	0.423	0.574	1
3478	0.432	0.572	1
3478	0.498	0.502	1
3478	0.436	0.565	1
3478	0.517	0.486	0
79	0.614	0.386	0
79	0.76	0.24	0
79	0.193	0.809	1
79	0.427	0.571	1
79	0.453	0.553	1
79	0.504	0.496	0
79	0.422	0.579	1
79	0.541	0.463	0
3479	0.615	0.385	0
3479	0.754	0.246	0
3479	0.192	0.81	1
3479	0.428	0.569	1
3479	0.422	0.583	1
3479	0.499	0.502	1
3479	0.382	0.621	0
3479	0.489	0.514	0
